
State Machine - |IITB_RISC|controlpath:controlpath_risc|Q
Name Q.s15 Q.s14 Q.s13 Q.s12 Q.s11 Q.s10 Q.s9 Q.s8 Q.s7 Q.s6 Q.s5 Q.s4 Q.s3 Q.s2 Q.s1 Q.CHECK Q.RST 
Q.RST 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Q.CHECK 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
Q.s1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
Q.s2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
Q.s3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
Q.s4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
Q.s5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
Q.s6 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
Q.s7 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
Q.s8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
Q.s9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
Q.s10 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
Q.s11 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
Q.s12 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
Q.s13 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
Q.s14 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
Q.s15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
